,id,retweet_count,favorite_count
130,866686824827068416,3590,19604
131,866450705531457537,36296,124100
132,866334964761202691,14910,53403
133,866094527597207552,8643,0
134,865718153858494464,5775,26005
135,865359393868664832,5160,26894
136,865006731092295680,7919,28454
137,864873206498414592,9011,32866
138,864279568663928832,3148,14874
139,864197398364647424,9264,30707
140,863907417377173506,4279,20988
141,863553081350529029,4319,15566
142,863471782782697472,2562,0
143,863432100342583297,5460,24248
144,863427515083354112,100,2303
145,863079547188785154,1136,8937
146,863062471531167744,2562,8696
147,862831371563274240,5268,19565
148,862722525377298433,3664,17422
149,862457590147678208,5147,20962
150,862096992088072192,24207,76144
151,861383897657036800,11106,36839
152,861288531465048066,4331,17565
153,861005113778896900,3963,17104
154,860981674716409858,2250,0
155,860924035999428608,851,0
156,860563773140209665,2249,7675
157,860524505164394496,5493,24157
158,860276583193509888,3623,18739
159,860184849394610176,6085,17083
160,860177593139703809,32242,0
161,859924526012018688,4275,20000
162,859851578198683649,3649,15768
163,859607811541651456,1641,19038
164,859196978902773760,31611,92183
165,859074603037188101,14214,34761
166,858860390427611136,8500,0
167,858843525470990336,3632,15938
168,858471635011153920,5064,22085
169,858107933456039936,3044,16149
170,857989990357356544,2704,16548
171,857746408056729600,11122,35218
172,857393404942143489,1713,6093
173,857263160327368704,4743,20576
174,857214891891077121,20,236
175,857062103051644929,178,0
176,857029823797047296,4201,19468
177,856602993587888130,11240,0
178,856543823941562368,3027,16765
179,856526610513747968,1977,12181
180,856330835276025856,713,0
181,856288084350160898,17,532
182,856282028240666624,6655,28522
183,855862651834028034,28,359
184,855860136149123072,1096,5152
185,855857698524602368,2235,12208
186,855851453814013952,18657,46864
187,855818117272018944,5748,27451
188,855459453768019968,8699,30958
189,855245323840757760,6325,0
190,855138241867124737,49,0
191,854732716440526848,6470,23645
192,854482394044301312,7306,30381
193,854365224396361728,4981,19592
194,854120357044912130,7967,33163
195,854010172552949760,3345,16794
196,853760880890318849,6164,29715
197,853639147608842240,10814,36286
198,853299958564483072,3801,16156
199,852936405516943360,2162,0
200,852912242202992640,1965,9418
201,852672615818899456,2297,15559
202,852553447878664193,3756,17072
203,852311364735569921,10583,34582
204,852226086759018497,7299,20887
205,852189679701164033,1688,11950
206,851953902622658560,10330,0
207,851861385021730816,23,0
208,851591660324737024,3711,16926
209,851464819735769094,7583,25369
